,path,flow,name,node_id,thres_freq,type,rm_plant,rm_poll,codelengths,num_nodes,num_leaf_modules,max_depth,num_top_modules,entropy_rate,relative_codelength_savings
47,"(2, 1, 10)",0.0,Melanostoma scalare (Syr. : Dip. ),1431,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
48,"(2, 1, 11)",0.0,Podabrus temporalis (Can. : Col. ),1520,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
49,"(2, 2, 1)",0.08403361344537816,Deutzia,30,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
50,"(2, 2, 2)",0.0,Andrena (Micrandrena) hikosana (And. : Hym. ),1026,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
51,"(2, 2, 3)",0.0,ANTHOMYIIDAE31 (Ant. : Dip. ),1051,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
52,"(2, 2, 4)",0.0,CLUSIIDAE1 (Clu. : Dip. ),1207,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
53,"(2, 2, 5)",0.0,"Lasioglossum (""Dialictus"") sp.2 (Hal. : Hym. )",1379,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
54,"(2, 3, 1)",0.04621848739495799,Oxalis,49,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
55,"(2, 3, 2)",0.033613445378151266,Petasites,55,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
56,"(2, 3, 3)",0.0,CECIDOMYIIDAE6 (Cec. : Dip. ),1145,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
57,"(2, 3, 4)",0.0,Epuraea sp. (Nit. : Col. ),1304,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
58,"(2, 3, 5)",0.0,Eusphalerum parallelum (Sta. : Col. ),1313,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
59,"(2, 3, 6)",0.0,Syreta adamsi (Chr. : Col. ),1583,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
60,"(3, 1)",0.026260504201680676,Rubus,68,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
61,"(3, 2)",0.023109243697478996,Clinopodium,24,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
62,"(3, 3)",0.005252100840336135,Anemone,7,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
63,"(3, 4)",0.0,Ceratina megastigmata (Ant. : Hym. ),1155,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
64,"(3, 5)",0.0,CHIRONOMIDAE5 (Chi. : Dip. ),1175,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
65,"(4, 1)",0.01785714285714286,Carpesium,20,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
66,"(4, 2)",0.0,Apis mellifera (Api. : Hym. ),1070,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
67,"(4, 3)",0.0,Ectinohoplia obducta (Sca. : Col. ),1252,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
68,"(5, 1)",0.006302521008403363,Anthriscus,11,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
69,"(5, 2)",0.0,Idiostrangalia contracta (Cer. : Col. ),1371,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
70,"(6, 1)",0.006302521008403363,Aster,13,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
71,"(6, 2)",0.0,Agelastica coerulea (Chr. : Col. ),1005,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
72,"(7, 1)",0.005252100840336135,Acer,0,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
73,"(7, 2)",0.0,EMPIDIDAE31 (Emp. : Dip. ),1278,5,bipartite_genus,NA,NA,1.8448159705234863,74,13,3,7,2.0350499735973826,0.5074307887540568
74,"(1, 1)",0.3067484662576687,Antenoron,10,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
75,"(1, 2)",0.0,ANTHOMYIIDAE28 (Ant. : Dip. ),1048,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
76,"(1, 3)",0.0,ANTHOMYIIDAE38 (Ant. : Dip. ),1054,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
77,"(1, 4)",0.0,DELTOCEPHALIDAE4 (Del. : Hem. ),1233,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
78,"(1, 5)",0.0,LONCHOPTERIDAE1 (Lon. : Dip. ),1417,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
79,"(1, 6)",0.0,Melanostoma scalare (Syr. : Dip. ),1431,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
80,"(1, 7)",0.0,Podabrus temporalis (Can. : Col. ),1520,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
81,"(2, 1)",0.17177914110429449,Euonymus,34,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
82,"(2, 2)",0.0,Andrena (Hoplandera) akitsushimae (And. : Hym. ),1023,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
83,"(2, 3)",0.0,Anoploderomorpha excavata (Cer. : Col. ),1035,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
84,"(2, 4)",0.0,Bombus (Bombus) hypocrita hypocrita (Api. : Hym. ),1101,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
85,"(2, 5)",0.0,Lasioglossum (El.) transpositum (Hal. : Hym. ),1387,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
86,"(2, 6)",0.0,Lasioglossum (Et.) apristum (Hal. : Hym. ),1388,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
87,"(2, 7)",0.0,Parastrangalis nymphula (Cer. : Col. ),1495,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
88,"(3, 1)",0.08282208588957056,Castanea,21,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
89,"(3, 2)",0.07975460122699386,Patrinia,50,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
90,"(3, 3)",0.0,Apis cerana (Api. : Hym. ),1069,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
91,"(3, 4)",0.0,Bombus (Diversobombus) diversus diversus (Api. : Hym. ),1103,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
92,"(3, 5)",0.0,Bombus (Thoracobombus) honshuensis (Api. : Hym. ),1105,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
